tagID,timestamp,x,y,z
GPA-4_A563_S1,41:35.0,0.3281,-0.7031,-0.7188
GPA-4_A563_S1,41:35.0,0.3281,-0.7031,-0.7188
GPA-4_A563_S1,41:35.0,0.3438,-0.6875,-0.7188
GPA-4_A563_S1,41:35.0,0.3281,-0.6875,-0.7188
GPA-4_A563_S1,41:35.0,0.3125,-0.7188,-0.7031
GPA-4_A563_S1,41:35.0,0.2969,-0.7188,-0.6875
GPA-4_A563_S1,41:35.1,0.3438,-0.7188,-0.6875
GPA-4_A563_S1,41:35.1,0.3594,-0.7031,-0.6875
GPA-4_A563_S1,41:35.1,0.3594,-0.7031,-0.7031
GPA-4_A563_S1,41:35.1,0.3594,-0.7031,-0.7031
GPA-4_A563_S1,41:35.1,0.3438,-0.6875,-0.7188
GPA-4_A563_S1,41:35.1,0.3438,-0.7031,-0.7031
GPA-4_A563_S1,41:35.1,0.3281,-0.7031,-0.7031
GPA-4_A563_S1,41:35.1,0.3438,-0.6875,-0.7031
GPA-4_A563_S1,41:35.1,0.3438,-0.6875,-0.7031
GPA-4_A563_S1,41:35.2,0.3438,-0.6875,-0.7031
GPA-4_A563_S1,41:35.2,0.375,-0.6875,-0.6875
GPA-4_A563_S1,41:35.2,0.4062,-0.6719,-0.6875
GPA-4_A563_S1,41:35.2,0.375,-0.6719,-0.7031
GPA-4_A563_S1,41:35.2,0.3438,-0.7031,-0.7344
GPA-4_A563_S1,41:35.2,0.3281,-0.7188,-0.75
GPA-4_A563_S1,41:35.2,0.3281,-0.7188,-0.75
GPA-4_A563_S1,41:35.2,0.3125,-0.7031,-0.7188
GPA-4_A563_S1,41:35.2,0.3125,-0.7031,-0.7031
GPA-4_A563_S1,41:35.2,0.3281,-0.7031,-0.7031
GPA-4_A563_S1,41:35.2,0.3281,-0.7031,-0.7031
GPA-4_A563_S1,41:35.3,0.3438,-0.7031,-0.7031
GPA-4_A563_S1,41:35.3,0.3438,-0.6875,-0.7031
GPA-4_A563_S1,41:35.3,0.3594,-0.6875,-0.7031
GPA-4_A563_S1,41:35.3,0.3438,-0.7031,-0.7031
GPA-4_A563_S1,41:35.3,0.3438,-0.7031,-0.7031
GPA-4_A563_S1,41:35.3,0.3125,-0.6875,-0.7031
GPA-4_A563_S1,41:35.3,0.3125,-0.7031,-0.7031
GPA-4_A563_S1,41:35.3,0.3281,-0.7031,-0.7031
GPA-4_A563_S1,41:35.3,0.3281,-0.7031,-0.7031
GPA-4_A563_S1,41:35.3,0.3438,-0.7031,-0.6875
GPA-4_A563_S1,41:35.4,0.3438,-0.7031,-0.7031
GPA-4_A563_S1,41:35.4,0.3594,-0.7031,-0.6875
GPA-4_A563_S1,41:35.4,0.3438,-0.7031,-0.6875
GPA-4_A563_S1,41:35.4,0.3438,-0.6875,-0.7031
GPA-4_A563_S1,41:35.4,0.3594,-0.7031,-0.7188
GPA-4_A563_S1,41:35.4,0.3594,-0.7031,-0.7188
GPA-4_A563_S1,41:35.4,0.3594,-0.6875,-0.7188
GPA-4_A563_S1,41:35.4,0.3594,-0.6875,-0.7188
GPA-4_A563_S1,41:35.4,0.3438,-0.7031,-0.7031
GPA-4_A563_S1,41:35.4,0.3281,-0.7031,-0.7031
GPA-4_A563_S1,41:35.5,0.3281,-0.7031,-0.7031
GPA-4_A563_S1,41:35.5,0.3281,-0.7031,-0.7031
GPA-4_A563_S1,41:35.5,0.3438,-0.6875,-0.7031
GPA-4_A563_S1,41:35.5,0.3594,-0.6875,-0.7031
GPA-4_A563_S1,41:35.5,0.3594,-0.6875,-0.7031
GPA-4_A563_S1,41:35.5,0.3594,-0.6875,-0.7031
GPA-4_A563_S1,41:35.5,0.3594,-0.6875,-0.7031
GPA-4_A563_S1,41:35.5,0.3594,-0.6875,-0.6875
GPA-4_A563_S1,41:35.5,0.3594,-0.6875,-0.6875
GPA-4_A563_S1,41:35.5,0.3438,-0.7031,-0.7031
GPA-4_A563_S1,41:35.6,0.3438,-0.7031,-0.6875
GPA-4_A563_S1,41:35.6,0.3438,-0.6875,-0.6875
GPA-4_A563_S1,41:35.6,0.3438,-0.6875,-0.6875
GPA-4_A563_S1,41:35.6,0.3281,-0.6875,-0.6875
GPA-4_A563_S1,41:35.6,0.3281,-0.7031,-0.6875
GPA-4_A563_S1,41:35.6,0.3281,-0.7031,-0.75
GPA-4_A563_S1,41:35.6,0.3281,-0.6875,-0.7031
GPA-4_A563_S1,41:35.6,0.3281,-0.7031,-0.7188
GPA-4_A563_S1,41:35.6,0.3281,-0.7031,-0.7188
GPA-4_A563_S1,41:35.6,0.3125,-0.6875,-0.7188
GPA-4_A563_S1,41:35.7,0.3125,-0.6875,-0.7188
GPA-4_A563_S1,41:35.7,0.3438,-0.6875,-0.7031
GPA-4_A563_S1,41:35.7,0.3281,-0.6875,-0.7031
GPA-4_A563_S1,41:35.7,0.3438,-0.6875,-0.7031
GPA-4_A563_S1,41:35.7,0.3594,-0.7031,-0.7031
GPA-4_A563_S1,41:35.7,0.3594,-0.7031,-0.7031
GPA-4_A563_S1,41:35.7,0.3438,-0.7031,-0.6875
GPA-4_A563_S1,41:35.7,0.3281,-0.7031,-0.6875
GPA-4_A563_S1,41:35.7,0.3438,-0.7031,-0.6875
GPA-4_A563_S1,41:35.7,0.3281,-0.6875,-0.7031
GPA-4_A563_S1,41:35.8,0.3438,-0.6875,-0.7031
GPA-4_A563_S1,41:35.8,0.3438,-0.6875,-0.7031
GPA-4_A563_S1,41:35.8,0.3594,-0.6875,-0.7031
GPA-4_A563_S1,41:35.8,0.3594,-0.7031,-0.7031
GPA-4_A563_S1,41:35.8,0.3594,-0.6875,-0.7188
GPA-4_A563_S1,41:35.8,0.3594,-0.6875,-0.7188
GPA-4_A563_S1,41:35.8,0.3438,-0.6875,-0.7188
GPA-4_A563_S1,41:35.8,0.3438,-0.7031,-0.7031
GPA-4_A563_S1,41:35.8,0.3281,-0.6875,-0.6875
GPA-4_A563_S1,41:35.9,0.3281,-0.6875,-0.6875
GPA-4_A563_S1,41:35.9,0.3281,-0.7031,-0.7031
GPA-4_A563_S1,41:35.9,0.3281,-0.7031,-0.7031
GPA-4_A563_S1,41:35.9,0.3594,-0.7031,-0.7031
GPA-4_A563_S1,41:35.9,0.3594,-0.6875,-0.7031
GPA-4_A563_S1,41:35.9,0.3594,-0.6875,-0.7031
GPA-4_A563_S1,41:35.9,0.3594,-0.6719,-0.7031
GPA-4_A563_S1,41:35.9,0.3438,-0.6875,-0.7031
GPA-4_A563_S1,41:35.9,0.3438,-0.6875,-0.7031
GPA-4_A563_S1,41:35.9,0.3438,-0.6875,-0.6875
GPA-4_A563_S1,41:35.9,0.3594,-0.6875,-0.7031
GPA-4_A563_S1,41:36.0,0.3594,-0.7031,-0.7031
GPA-4_A563_S1,41:36.0,0.3594,-0.7031,-0.7031
GPA-4_A563_S1,41:36.0,0.3594,-0.6875,-0.7188
GPA-4_A563_S1,41:36.0,0.3438,-0.6875,-0.7188
GPA-4_A563_S1,41:36.0,0.3438,-0.6875,-0.7031
GPA-4_A563_S1,41:36.0,0.3438,-0.6875,-0.7031
GPA-4_A563_S1,41:36.0,0.3438,-0.6875,-0.7344
GPA-4_A563_S1,41:36.0,0.3438,-0.6875,-0.6875
GPA-4_A563_S1,41:36.0,0.3281,-0.7031,-0.6875
GPA-4_A563_S1,41:36.0,0.3281,-0.7031,-0.6875
GPA-4_A563_S1,41:36.1,0.3281,-0.7031,-0.7031
GPA-4_A563_S1,41:36.1,0.3438,-0.6875,-0.6875
GPA-4_A563_S1,41:36.1,0.3281,-0.6875,-0.6875
GPA-4_A563_S1,41:36.1,0.3438,-0.7031,-0.6875
GPA-4_A563_S1,41:36.1,0.3438,-0.6875,-0.7031
GPA-4_A563_S1,41:36.1,0.3438,-0.7031,-0.6875
GPA-4_A563_S1,41:36.1,0.3438,-0.7031,-0.7188
GPA-4_A563_S1,41:36.1,0.3438,-0.6719,-0.7188
GPA-4_A563_S1,41:36.1,0.3594,-0.6875,-0.7188
GPA-4_A563_S1,41:36.1,0.3594,-0.6875,-0.7031
GPA-4_A563_S1,41:36.2,0.3594,-0.6875,-0.7031
GPA-4_A563_S1,41:36.2,0.3438,-0.6875,-0.7031
GPA-4_A563_S1,41:36.2,0.3438,-0.6875,-0.6875
GPA-4_A563_S1,41:36.2,0.3281,-0.6875,-0.7031
GPA-4_A563_S1,41:36.2,0.3281,-0.6875,-0.7031
GPA-4_A563_S1,41:36.2,0.3281,-0.6875,-0.7031
GPA-4_A563_S1,41:36.2,0.3438,-0.6875,-0.7031
GPA-4_A563_S1,41:36.2,0.3438,-0.6875,-0.7031
GPA-4_A563_S1,41:36.2,0.3438,-0.6875,-0.7031
GPA-4_A563_S1,41:36.2,0.3438,-0.7031,-0.7031
GPA-4_A563_S1,41:36.3,0.3281,-0.6875,-0.7031
GPA-4_A563_S1,41:36.3,0.3438,-0.7031,-0.7188
GPA-4_A563_S1,41:36.3,0.3438,-0.7031,-0.7031
GPA-4_A563_S1,41:36.3,0.3438,-0.6875,-0.7031
GPA-4_A563_S1,41:36.3,0.3438,-0.6875,-0.7031
